Series Name,Series Code,Country Name,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Macedonia, FYR",..,..,8.62467475,11.08196013,12.30801212,13.38306661,14.8307232,16.06362693,16.79417046,17.18245007,17.87658467,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Madagascar,..,..,0.017504078,0.02232664,0.025574572,0.03160672,0.139396788,0.165706639,0.105358222,0.097766118,0.057181677,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Malawi,..,..,0.00697401,0.007095149,0.007226736,0.011191956,0.00778299,0.053640728,0.050870086,0.033826949,0.04882714,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Malaysia,..,..,4.868812016,5.590435002,7.419055883,8.716237662,9.989423024,9.889300607,10.13982558,9.995766557,8.74052135,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Maldives,..,..,4.893848198,4.811362072,4.775341271,5.313226735,5.335921665,5.89844735,5.643794159,6.473807269,7.219795336,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mali,..,..,0.04012696,0.060799617,0.057336067,0.058834395,0.029083913,0.019011022,0.018962183,0.021520935,0.034617706,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Malta,..,0.40635145,23.33886254,26.87716378,29.63921288,30.1808817,31.73665853,33.33535352,35.23385083,37.84560302,39.62464925,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Marshall Islands,..,..,..,..,..,..,..,2.439487784,2.599863564,1.887041685,1.875785485,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mauritania,..,..,0.17166725,0.192686338,0.160939985,0.16528198,0.176415997,0.193630652,0.200780182,0.236212522,0.254734895,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mauritius,..,..,4.292442959,5.940052541,7.631846027,9.574381939,11.35889677,13.05043463,14.56989587,15.74688831,16.90481302,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mexico,..,0.014440627,6.551936578,8.281171708,8.977171786,9.689971115,10.8213066,10.42068422,10.52714187,11.78393966,12.67391803,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Micronesia, Fed. Sts.",..,..,..,..,0.963143825,..,..,1.992293504,2.975852478,3.137085966,3.011355538,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Moldova,..,..,3.168614963,5.207018272,7.577782853,10.05733111,11.90875434,13.45969436,14.7107512,15.54901787,16.33049773,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Monaco,..,2.493687853,36.42885165,36.900369,37.45420003,42.72563807,43.26352484,44.66178531,46.76088898,47.89665971,48.22029947,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mongolia,..,..,1.234563212,1.499762557,2.829392297,3.41484615,3.93941106,4.921641677,6.845490844,7.117462924,7.63054255,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Montenegro,..,..,6.425129597,9.578339318,10.42852673,10.42658916,14.1314901,15.40450897,16.71053605,18.08268282,18.48166124,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Morocco,..,..,1.59336325,1.533106386,1.594378548,1.856574217,2.120285256,2.556762497,2.966153224,3.379554393,3.650809834,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Mozambique,..,..,0.048918123,0.058850157,0.072277751,0.115428894,0.116801725,0.111683351,0.139708504,0.156958453,0.144932226,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Myanmar,..,..,0.019531396,0.045090763,0.04419306,0.041829381,..,..,..,0.060779929,0.055394164,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Namibia,..,..,0.015160194,0.022253345,0.433003345,0.794095286,1.064577964,1.551676605,1.755204882,1.930763218,2.1912609,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Nauru,..,..,..,..,9.476309227,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Nepal,..,..,0.04571531,0.064336171,0.224156165,0.348559143,0.83939301,1.120451414,0.891164315,1.064340033,0.779583579,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Netherlands,..,1.639358423,35.17288001,37.00800457,38.09152836,38.98911966,39.81089407,40.526924,40.77378418,41.73008565,42.16312001,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,New Caledonia,..,..,10.63154422,13.63419313,15.50294465,17.12145597,18.92121428,20.89701204,22.4382659,21.04185113,..,..
